state_abbrev,7-Eleven,Ak Buffet,Arby's,Arctic Circle,B Good,Big Island Pizza,Blake's Lotaburger,Boloco,Boston Market,Burger King,Carl's Jr.,Chick-fil-A,Chun Wah Kam Noodle Factory,Creperie,Culver's,Dairy Queen,Domino's Pizza,Dunkin' Donuts,Hardee's,Jack in the Box,Jimmy John's,KFC,Krystal,McDonald's,Other,Panda Express,Panera Bread,Pizza Hut,SONIC Drive In,Subway,Taco Bell,Taco John's,Taco Time,Wendy's
AK,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,2,0,0,0
AL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0
AR,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,0,0,0,0,10,14,0,0,12
AZ,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,25,0,0,0,56,138,0,0,0,0,19,40,0,0,0
CA,0,0,0,0,0,0,0,0,0,113,82,0,0,0,0,0,0,0,0,125,0,0,0,141,546,0,0,0,0,0,115,0,0,0
CO,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,57,0,0,0,0,18,24,0,0,12
CT,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,17,4,0,0,0
DE,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,3,4,0,0,0
FL,0,0,41,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,133,238,0,0,0,0,0,67,0,0,53
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,90,162,0,0,0,0,35,40,0,0,36
HI,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,9,0,0,0,11,5,0,0,0,0,0,0,0,0,0
IA,0,0,10,0,0,0,0,0,0,8,0,0,0,0,11,13,0,0,0,0,0,0,0,22,44,0,0,0,0,0,0,0,0,0
ID,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24,0,0,0,0,10,0,0,4,5
IL,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,23,0,0,69,179,0,0,0,0,29,29,0,0,0
IN,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,15,0,25,41,0,0,22
KS,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3,9,13,0,0,12
KY,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,47,50,0,0,0,0,10,18,0,0,18
LA,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,12,0,0,0,0,0,0,44,71,0,0,0,0,0,24,0,0,17
MA,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,33,0,0,0,0,0,33,63,0,0,0,0,27,0,0,0,17
MD,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,39,61,0,0,0,0,13,18,0,0,0
ME,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,3,0,0,3
MI,0,0,42,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,66,91,0,0,0,0,47,50,0,0,0
MN,0,0,24,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,13,0,0,49,64,0,0,0,0,0,14,0,0,0
MO,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,32,53,0,0,0,0,17,38,0,0,0
MS,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,0,3,0,8,5,0,0,0
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,3,0,7,3,8,0,0
